123.613	13.2236	0	181.307738624
123.613842421	13.2239691076	0.1	188.260577788
123.614684845	13.2243382124	0.2	191.580201564
123.615527271	13.2247073145	0.3	195.183921513
123.6163697	13.2250764138	0.4	197.771070118
123.617212132	13.2254455104	0.5	208.638871238
123.618054566	13.2258146042	0.6	211.939706797
123.618897002	13.2261836952	0.7	216.312372526
123.619739441	13.2265527835	0.8	221.228862451
123.620581883	13.2269218691	0.9	227.878485907
123.621424327	13.2272909518	1	232.001759029
123.622266774	13.2276600318	1.1	237.888382657
123.623109223	13.2280291091	1.2	242.119113399
123.623951675	13.2283981836	1.3	249.101999521
123.624794129	13.2287672553	1.4	258.291069589
123.625636586	13.2291363243	1.5	259.4656658
123.626479046	13.2295053905	1.6	265.689834133
123.627321508	13.2298744539	1.7	268.160894281
123.628163972	13.2302435146	1.8	268.65105497
123.629006439	13.2306125726	1.9	277.225450592
123.629848909	13.2309816277	2	286.670701544
123.630691381	13.2313506802	2.1	294.7236011
123.631533856	13.2317197298	2.2	301.669434381
123.632376333	13.2320887767	2.3	308.646533867
123.633218813	13.2324578208	2.4	321.202611935
123.634061296	13.2328268622	2.5	331.53720383
123.634903781	13.2331959008	2.6	335.968528689
123.635746268	13.2335649367	2.7	342.838357551
123.636588758	13.2339339698	2.8	353.33435963
123.637431251	13.2343030001	2.9	366.048446737
123.638273746	13.2346720277	3	379.16947931
123.639116244	13.2350410525	3.1	390.758014562
123.639958744	13.2354100745	3.2	402.856412701
123.640801247	13.2357790938	3.3	413.308892489
123.641643753	13.2361481103	3.4	424.984409028
123.642486261	13.2365171241	3.5	448.577786604
123.643328771	13.2368861351	3.6	466.418423864
123.644171284	13.2372551433	3.7	477.040760966
123.6450138	13.2376241488	3.8	484.566913892
123.645856318	13.2379931515	3.9	495.995273071
123.646698839	13.2383621515	4	508.470998251
123.647541362	13.2387311487	4.1	522.930107466
123.648383888	13.2391001431	4.2	533.938310562
123.649226416	13.2394691348	4.3	551.085931025
123.650068947	13.2398381237	4.4	560.234636679
123.650911481	13.2402071098	4.5	577.810702123
123.651754017	13.2405760932	4.6	592.838749946
123.652596555	13.2409450739	4.7	596.554507394
123.653439097	13.2413140517	4.8	609.876261983
123.65428164	13.2416830268	4.9	635.853550506
123.655124187	13.2420519992	5	648.960775389
123.655966735	13.2424209687	5.1	671.00069506
123.656809287	13.2427899355	5.2	690.397518754
123.657651841	13.2431588996	5.3	703.661061724
123.658494397	13.2435278609	5.4	729.152655925
123.659336956	13.2438968194	5.5	750.671123532
123.660179518	13.2442657751	5.6	768.876565684
123.661022082	13.2446347281	5.7	796.927126554
123.661864649	13.2450036784	5.8	829.280090132
123.662707218	13.2453726258	5.9	872.668717564
123.66354979	13.2457415705	6	917.14589462
123.664392364	13.2461105125	6.1	943.426473474
123.665234941	13.2464794517	6.2	988.736690578
123.66607752	13.2468483881	6.3	1036.6711896
123.666920103	13.2472173217	6.4	1075.37777491
123.667762687	13.2475862526	6.5	1106.12124982
123.668605274	13.2479551807	6.6	1154.28362809
123.669447864	13.2483241061	6.7	1202.71500711
123.670290456	13.2486930287	6.8	1246.07785577
123.671133051	13.2490619485	6.9	1302.18060631
123.671975648	13.2494308656	7	1365.51824177
123.672818248	13.2497997799	7.1	1418.54489845
123.673660851	13.2501686914	7.2	1485.18062721
123.674503456	13.2505376002	7.3	1544.59316015
123.675346063	13.2509065062	7.4	1613.16765659
123.676188673	13.2512754095	7.5	1662.16632497
123.677031286	13.2516443099	7.6	1719.6534914
123.677873901	13.2520132076	7.7	1794.31421052
123.678716519	13.2523821026	7.8	1854.65073937
123.679559139	13.2527509948	7.9	1924.55821926
123.680401762	13.2531198842	8	1991.64544124
123.681244388	13.2534887708	8.1	2069.20209575
123.682087016	13.2538576547	8.2	2125.64366511
123.682929646	13.2542265359	8.3	2209.27279743
123.68377228	13.2545954142	8.4	2299.72703997
123.684614915	13.2549642898	8.5	2372.93948885
123.685457553	13.2553331626	8.6	2421.24567896
123.686300194	13.2557020327	8.7	2422.78332276
123.687142838	13.2560709	8.8	2372.68909667
123.687985484	13.2564397645	8.9	2292.35226402
123.688828132	13.2568086263	9	2231.57719004
123.689670783	13.2571774853	9.1	2158.31875251
123.690513437	13.2575463415	9.2	2075.50449254
123.691356093	13.257915195	9.3	2019.80248947
123.692198751	13.2582840457	9.4	1948.67050702
123.693041413	13.2586528936	9.5	1869.57173546
123.693884076	13.2590217388	9.6	1807.92628263
123.694726743	13.2593905811	9.7	1745.05882596
123.695569412	13.2597594208	9.8	1667.41548954
123.696412083	13.2601282576	9.9	1615.98345134
123.697254757	13.2604970917	10	1557.4397614
123.698097434	13.2608659231	10.1	1487.42357486
123.698940113	13.2612347516	10.2	1435.98046655
123.699782795	13.2616035774	10.3	1384.08431119
123.700625479	13.2619724005	10.4	1341.87651729
123.701468166	13.2623412207	10.5	1292.9665938
123.702310855	13.2627100382	10.6	1238.67428674
123.703153547	13.2630788529	10.7	1202.1770187
123.703996242	13.2634476649	10.8	1153.89710736
123.704838939	13.2638164741	10.9	1122.12049848
123.705681638	13.2641852805	11	1062.96113038
123.70652434	13.2645540842	11.1	1013.47970072
123.707367045	13.264922885	11.2	967.686678847
123.708209752	13.2652916832	11.3	924.277252096
123.709052462	13.2656604785	11.4	890.831576722
123.709895174	13.2660292711	11.5	858.751453996
123.710737889	13.2663980609	11.6	830.299261768
123.711580607	13.2667668479	11.7	803.893435772
123.712423327	13.2671356322	11.8	785.090505897
123.71326605	13.2675044137	11.9	758.70554362
123.714108775	13.2678731925	12	734.557773435
