16,945.7,1016.5,948.7,2016-01-16 09:30 ,942.9,2016-01-16 23:51 ,14.2,18,2016-01-16 12:55 ,11.5,2016-01-16 00:54 ,12.8,91,78,2016-01-16 12:51 ,3.1,20,15.2,350,2016-01-16 10:05 ,0.5,0.7,0.5,2016-01-16 03:15 ,0.5,2016-01-16 03:10 ,3.5,32.7,12.55,6.2,-0.4
17,941.7,1012.4,945.4,2016-01-17 23:32 ,938.8,2016-01-17 14:35 ,13.6,15.9,2016-01-17 08:00 ,9.2,2016-01-17 23:51 ,12.6,94,87,2016-01-17 09:40 ,2,20,13.7,20,2016-01-17 22:09 ,27.3,17.8,2,2016-01-17 08:31 ,6.5,2016-01-17 09:25 ,0.3,2.8,3.64,4.9,-0.3
18,947.9,1020.1,950.9,2016-01-18 23:11 ,945.2,2016-01-18 02:58 ,9.5,12.4,2016-01-18 12:32 ,7.6,2016-01-18 05:00 ,6.9,84,73,2016-01-18 12:03 ,3.4,20,14.2,10,2016-01-18 21:43 ,2,5.5,0.5,2016-01-18 00:10 ,2,2016-01-18 00:04 ,6,55.9,14.79,7.8,-1.3
19,951.7,1024.3,954,2016-01-19 22:51 ,949,2016-01-19 04:40 ,8.9,10,2016-01-19 00:01 ,8.1,2016-01-19 14:59 ,7.8,93,83,2016-01-19 00:01 ,5.5,30,16.5,20,2016-01-19 15:23 ,5.5,17.3,0.5,2016-01-19 05:24 ,1,2016-01-19 08:07 ,0,0,2.04,3,-0.2
20,951.8,1023.9,954.7,2016-01-20 09:19 ,949.3,2016-01-20 17:35 ,10.8,14.8,2016-01-20 23:31 ,8.2,2016-01-20 02:25 ,9.9,94,90,2016-01-20 23:31 ,5.2,30,18.4,20,2016-01-20 13:06 ,7.5,15.6,1,2016-01-20 04:43 ,1.5,2016-01-20 04:17 ,0,0,3.3,7.5,-0.3
21,948.1,1019.5,949.8,2016-01-21 09:27 ,946.1,2016-01-21 14:47 ,12.8,15.3,2016-01-21 01:54 ,10.8,2016-01-21 21:52 ,12,95,90,2016-01-21 00:59 ,3,20,14.4,10,2016-01-21 20:55 ,14.5,19,2,2016-01-21 11:09 ,3.5,2016-01-21 22:10 ,0,0,3.41,2.7,-0.4
22,948.2,1019.9,950.8,2016-01-22 23:08 ,945.1,2016-01-22 14:55 ,11.3,12.8,2016-01-22 15:21 ,9.7,2016-01-22 06:10 ,10.3,94,90,2016-01-22 12:20 ,4.8,30,16.2,350,2016-01-22 07:09 ,53.5,21.1,2,2016-01-22 21:38 ,7,2016-01-22 21:30 ,0,0,1.13,6.3,-0.2
23,955.2,1029,960.2,2016-01-23 23:39 ,949.7,2016-01-23 00:15 ,5.7,10.7,2016-01-23 00:01 ,1.7,2016-01-23 22:37 ,4.9,95,92,2016-01-23 18:00 ,2.7,20,14.3,310,2016-01-23 08:29 ,54.8,24,1.5,2016-01-23 00:28 ,4.5,2016-01-23 04:03 ,0,0,1.58,3.7,-0.1
24,960.9,1036.9,962.5,2016-01-24 22:53 ,958.9,2016-01-24 00:39 ,-0.4,1.8,2016-01-24 00:01 ,-1.5,2016-01-24 17:40 ,-1.1,95,90,2016-01-24 11:00 ,1.7,330,10.2,350,2016-01-24 08:49 ,1.4,15.9,0.4,2016-01-24 00:30 ,0.8,2016-01-24 00:01 ,0,0,0.33,7,X 
25,959.8,1035.1,962.1,2016-01-25 09:33 ,958,2016-01-25 14:42 ,1.9,5.7,2016-01-25 14:31 ,-1.4,2016-01-25 03:01 ,0.2,89,83,2016-01-25 18:30 ,3,20,14.1,10,2016-01-25 21:01 ,0,0,0, ,0, ,0,0,8.01,13.7,X 
26,956.2,1028.9,958.5,2016-01-26 09:38 ,953.9,2016-01-26 14:25 ,10.2,15.5,2016-01-26 12:44 ,3.3,2016-01-26 00:02 ,6.9,80,64,2016-01-26 12:58 ,2.6,30,13.4,30,2016-01-26 00:43 ,0,0,0, ,0, ,3.3,30.4,15.49,17.3,-1.2
27,953.4,1024.7,955.5,2016-01-27 09:46 ,951.4,2016-01-27 15:19 ,14.8,20.4,2016-01-27 13:30 ,11.5,2016-01-27 01:12 ,11.7,82,62,2016-01-27 13:33 ,0.8,90,7.6,180,2016-01-27 11:24 ,0.4,2.2,0.2,2016-01-27 07:50 ,0.4,2016-01-27 07:20 ,1.1,10.1,7.36,23.3,-0.7
28,950.3,1021,953.2,2016-01-28 00:01 ,947.1,2016-01-28 14:34 ,15.6,18.2,2016-01-28 13:09 ,13.6,2016-01-28 17:41 ,13.7,89,76,2016-01-28 01:34 ,1.2,70,12,340,2016-01-28 17:58 ,2.5,9.9,0.5,2016-01-28 12:03 ,1,2016-01-28 11:50 ,0,0,3.58,7,-0.4
29,948.5,1019.5,951.8,2016-01-29 09:30 ,946.5,2016-01-29 14:50 ,14.4,16.9,2016-01-29 04:10 ,13.2,2016-01-29 13:35 ,13.7,96,89,2016-01-29 04:09 ,1,30,13.7,350,2016-01-29 08:47 ,22,17.7,1.5,2016-01-29 09:28 ,3.5,2016-01-29 09:17 ,0,0,1.58,5,-0.1
30,950.9,1022.7,953.5,2016-01-30 20:56 ,947.7,2016-01-30 02:52 ,11.9,13.7,2016-01-30 00:01 ,10.7,2016-01-30 20:49 ,11.4,96,90,2016-01-30 13:54 ,5.1,30,17.9,20,2016-01-30 19:27 ,10.3,14.2,1,2016-01-30 01:41 ,3,2016-01-30 01:22 ,0,0,5.97,5.2,-0.2
31,951.7,1023.3,954.6,2016-01-31 09:29 ,949,2016-01-31 15:34 ,13,15,2016-01-31 13:24 ,11.2,2016-01-31 00:01 ,11.7,92,80,2016-01-31 11:57 ,4.2,30,15.6,20,2016-01-31 10:05 ,6.7,14.3,0.5,2016-01-31 00:11 ,1.5,2016-01-31 22:25 ,4.5,41.2,14.26,5.8,-0.2
